COM,NCOM,NREG,NDEP,F65-79,F80+,H65-79,H80+,latitude,longitude
1189,Injoux-Génissiat,Auvergne-Rhône-Alpes,Ain,51,19,63.0,13.0,46.0497734524,5.75991363273
1190,Innimond,Auvergne-Rhône-Alpes,Ain,7,4,12.0,3.0,45.7919647191,5.57389398559
1191,Izenave,Auvergne-Rhône-Alpes,Ain,11,4,14.0,6.0,46.0381623415,5.52447901164
1192,Izernore,Auvergne-Rhône-Alpes,Ain,140,50,119.0,25.0,46.2179780137,5.56258251719
1193,Izieu,Auvergne-Rhône-Alpes,Ain,23,10,20.0,6.0,45.6557496407,5.63909140794
1194,Jassans-Riottier,Auvergne-Rhône-Alpes,Ain,505,299,447.0,146.0,45.9777239103,4.75984637871
1195,Jasseron,Auvergne-Rhône-Alpes,Ain,115,115,107.0,42.0,46.2150037064,5.31215372338
1196,Jayat,Auvergne-Rhône-Alpes,Ain,61,32,63.0,14.0,46.3660828991,5.11429701617
1197,Journans,Auvergne-Rhône-Alpes,Ain,31,11,28.0,6.0,46.1464982407,5.33452833151
1198,Joyeux,Auvergne-Rhône-Alpes,Ain,14,5,12.0,1.0,45.9499899849,5.10261326872
1199,Jujurieux,Auvergne-Rhône-Alpes,Ain,136,103,125.0,45.0,46.0497041467,5.41094771899
1200,Labalme,Auvergne-Rhône-Alpes,Ain,17,4,13.0,5.0,46.0932491295,5.49438685213
1202,Lagnieu,Auvergne-Rhône-Alpes,Ain,556,275,440.0,156.0,45.8917015798,5.32917518895
1203,Laiz,Auvergne-Rhône-Alpes,Ain,90,27,76.0,16.0,46.2469919709,4.89933490972
1204,Le Poizat-Lalleyriat,Auvergne-Rhône-Alpes,Ain,44,15,45.0,9.0,46.1479592076,5.71829194244
1204,Le Poizat-Lalleyriat,Auvergne-Rhône-Alpes,Ain,44,15,45.0,9.0,46.1479592076,5.71829194244
1206,Lantenay,Auvergne-Rhône-Alpes,Ain,20,10,17.0,6.0,46.0544405897,5.54127421165
1207,Lapeyrouse,Auvergne-Rhône-Alpes,Ain,11,3,18.0,4.0,45.9859131165,4.98196682865
1208,Lavours,Auvergne-Rhône-Alpes,Ain,13,10,14.0,4.0,45.8108837933,5.77267317838
1209,Léaz,Auvergne-Rhône-Alpes,Ain,37,16,29.0,10.0,46.1086518044,5.87649017888
1210,Lélex,Auvergne-Rhône-Alpes,Ain,11,13,15.0,6.0,46.2855010936,5.92927713771
